#{"t_start": 1766243797.653455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
160.0,2133,5.330618
110.0,2223,7.060579
150.0,1529,8.307801
180.0,2315,10.09547
660.0,3981,13.033729
30.0,1133,13.895597
105.0,1693,15.181574
75.0,1595,16.353639
105.0,1951,17.945801
380.0,2421,19.820281
135.0,1619,21.483163
80.0,1945,24.043917
155.0,2229,26.264399
110.0,2149,28.514813
30.0,1069,29.673547
195.0,2785,32.822753
125.0,2489,35.362835
160.0,2297,37.798881
65.0,1501,39.341373
120.0,2107,42.104948
55.0,1191,43.290417
240.0,2695,45.639191
125.0,1565,47.381929
255.0,2867,50.001113
75.0,1789,51.33325
110.0,2041,53.012547
50.0,1387,54.013401
80.0,1399,55.017837
215.0,3541,57.580094
215.0,1905,59.016508
80.0,1153,59.926968
75.0,1109,60.898975
210.0,2331,63.132771
80.0,1177,64.135795
145.0,2087,66.001376
95.0,1521,67.379229
45.0,1131,68.466367
135.0,2151,70.449591
35.0,1605,71.682792
190.0,2941,73.796793
125.0,1573,75.072202
30.0,1179,75.832536
185.0,2371,78.531329
105.0,1551,79.618846
310.0,1997,80.88096
425.0,2959,82.689083
100.0,1179,83.523995
330.0,3109,85.797843
180.0,2227,87.587457
135.0,2039,89.178811
210.0,2039,90.553292
110.0,2031,103.900764
210.0,3823,107.551709
345.0,2549,109.404508
215.0,2447,111.484063
165.0,2631,114.830055
110.0,1993,116.542923
215.0,3951,119.849138
35.0,1447,120.884749
345.0,3367,123.393831
160.0,2643,125.292888
105.0,1965,127.339009
110.0,2017,129.218207
210.0,1999,130.946711
120.0,1593,132.115905
225.0,2549,133.971736
180.0,2317,135.636889
410.0,3347,138.051362
290.0,3057,140.810005
125.0,1527,142.51875
45.0,1123,143.713207
80.0,1529,145.587492
45.0,1169,147.075974
210.0,4133,152.055798
20.0,1447,153.472993
85.0,1105,154.262593
355.0,2539,156.305176
245.0,4493,159.212851
105.0,1981,160.380989
45.0,1699,161.422718
35.0,1189,162.1378
60.0,1191,162.838178
90.0,1621,163.839276
210.0,2447,165.309428
285.0,1845,166.3877
25.0,1599,167.330797
65.0,1325,168.11518
200.0,2349,169.516757
185.0,2391,170.923141
135.0,2321,172.310666
5.0,1881,173.435957
150.0,2931,175.163064
60.0,1501,176.053993
105.0,1867,177.169909
110.0,2003,178.361102
120.0,2107,179.601707
110.0,1927,180.727832
75.0,1927,181.880123
135.0,2129,195.541037
120.0,2219,196.861503
155.0,2427,198.310376
135.0,2091,199.566387
75.0,1129,200.432602
160.0,2331,202.109484
60.0,1547,203.560053
210.0,2483,205.959867
125.0,1855,207.541049
165.0,1955,209.392828
75.0,2021,211.533291
60.0,1155,212.499821
135.0,1859,213.957327
120.0,1649,215.458614
110.0,2173,218.249926
180.0,2203,221.134254
105.0,2097,223.457248
120.0,1739,224.870245
75.0,1603,226.036644
105.0,1811,227.401636
125.0,2003,228.980588
135.0,1783,230.529038
60.0,2271,232.247881
180.0,1877,233.70298
80.0,2051,235.633739
125.0,2025,237.311806
155.0,1493,238.441945
445.0,4693,241.876619
530.0,3387,245.757133
50.0,1011,246.916241
105.0,2167,248.993135
150.0,1617,251.02738
155.0,1641,252.295496
60.0,1621,254.070741
195.0,2307,256.684386
105.0,1881,258.13549
50.0,1555,259.220188
20.0,1305,260.181515
125.0,2591,261.92428
35.0,1151,262.793734
65.0,2137,264.825871
190.0,2033,266.805137
210.0,2101,269.246362
75.0,1891,271.312561
120.0,1957,273.589885
245.0,3149,276.55559
130.0,1919,279.055883
180.0,1903,281.290734
105.0,1995,283.921165
45.0,1147,285.173293
75.0,1469,286.736778
45.0,1311,288.278547
45.0,1711,308.332867
105.0,1469,309.430201
170.0,2667,311.291871
105.0,1695,313.260826
80.0,1189,314.612854
315.0,3661,318.326436
125.0,2419,319.964574
105.0,1927,321.194035
125.0,1613,322.195083
170.0,2449,324.778193
245.0,3065,328.074134
20.0,1329,329.3264
80.0,1515,330.406869
120.0,1621,332.027555
150.0,2183,334.20978
120.0,1917,335.902544
135.0,1813,337.311577
210.0,2075,339.47134
155.0,2055,341.887896
260.0,2801,344.894551
185.0,1947,347.256534
50.0,1757,349.316442
30.0,1879,351.162778
50.0,1221,352.631848
120.0,1973,354.844758
90.0,1641,356.888916
80.0,1241,358.345971
80.0,1341,360.033299
190.0,2913,363.842245
5.0,1329,365.574736
435.0,2793,368.210861
75.0,1253,369.216519
80.0,1631,370.720546
85.0,1897,372.081967
110.0,2075,373.857327
5.0,1619,375.215394
125.0,1811,377.084343
80.0,1645,378.77655
135.0,1981,380.574718
80.0,1633,382.525261
155.0,1907,384.421007
460.0,3227,387.856773
120.0,2359,390.47381
225.0,3819,394.983423
205.0,4445,399.597935
20.0,1153,400.482519
105.0,1725,401.904545
105.0,1591,403.480822
30.0,1199,404.368394
120.0,1969,406.276448
260.0,2439,408.686765
215.0,3391,441.532228
30.0,2019,446.940338
390.0,2425,452.70346
215.0,3861,460.45722
105.0,1769,463.977059
5.0,1131,466.145295
240.0,4265,474.466703
180.0,4715,488.238463
430.0,4767,505.032542
105.0,1967,509.067664
90.0,2053,513.419478
75.0,2161,520.034636
255.0,3419,532.621927
410.0,3953,541.15129
255.0,2707,546.852061
80.0,2093,551.201028
70.0,1979,555.747974
220.0,2011,560.844312
215.0,3321,569.027239
315.0,3445,576.851253
100.0,2131,582.224498
45.0,1171,584.451692
140.0,1919,588.604017
115.0,2197,594.116546
180.0,2403,599.018356
115.0,1941,603.012164
200.0,2405,610.191056
210.0,2119,615.757598
390.0,2605,623.212361
125.0,2301,628.276978
550.0,4531,640.001045
380.0,4065,650.415406
310.0,3419,658.369175
105.0,2015,662.323713
195.0,1941,666.074178
230.0,3377,674.326763
295.0,2541,680.423362
315.0,2789,704.888132
35.0,1463,709.149704
550.0,3559,718.648206
200.0,2471,724.809248
15.0,1455,729.609267
435.0,3387,738.655366
280.0,3245,746.374023
75.0,1597,750.302553
205.0,2419,755.648991
255.0,2237,760.823209
210.0,3227,767.916061
410.0,3207,775.315392
120.0,1965,779.041929
175.0,2115,783.034289
210.0,2737,789.856727
380.0,4747,801.706165
190.0,2093,806.730688
360.0,3707,815.035441
420.0,2829,822.058152
240.0,2111,828.635087
160.0,1919,834.546713
265.0,2921,844.689425
115.0,2109,851.905451
210.0,2105,858.442233
370.0,3707,873.696532
120.0,2731,881.896483
300.0,2739,889.770478
30.0,1013,892.204725
240.0,2663,901.116976
115.0,2419,909.499359
90.0,1149,913.422444
230.0,2021,919.811775
225.0,1877,925.886756
110.0,1549,929.985068
245.0,2847,937.628149
120.0,2799,944.479528
600.0,3289,952.309373
305.0,3489,959.550668
310.0,3011,965.637308
125.0,1907,970.691772
255.0,2907,998.923827
180.0,2995,1008.011501
190.0,2741,1015.31996
260.0,2525,1021.491973
130.0,1811,1025.117841
130.0,1839,1028.757442
125.0,2101,1034.437044
55.0,2779,1043.156518
105.0,1759,1049.434189
165.0,2387,1058.276766
240.0,2801,1063.934347
145.0,2221,1068.197527
215.0,1873,1071.846423
145.0,1983,1075.601282
395.0,3001,1081.300651
245.0,2435,1085.99202
385.0,3353,1092.468716
165.0,2519,1097.269564
440.0,4363,1105.905123
115.0,2287,1111.97901
150.0,1639,1116.376163
120.0,1991,1120.644164
275.0,2243,1125.260832
130.0,1929,1130.838301
205.0,3281,1138.362654
55.0,1157,1140.585629
105.0,1299,1143.057366
145.0,1709,1146.504363
255.0,3285,1154.031944
110.0,1931,1159.769854
320.0,2883,1168.292812
210.0,2427,1173.22288
135.0,1897,1176.902236
315.0,2993,1183.038696
75.0,1109,1185.234129
100.0,1625,1188.929496
170.0,2087,1194.248698
225.0,2601,1202.811563
105.0,1969,1208.169135
210.0,2121,1214.108034
135.0,2005,1219.501307
275.0,2901,1225.701359
85.0,2051,1231.007934
110.0,1287,1234.600572
555.0,3799,1262.044973
175.0,2081,1266.082539
280.0,2725,1271.541547
220.0,2899,1277.377744
455.0,2835,1283.262768
215.0,3431,1290.014454
280.0,3113,1296.125266
115.0,3043,1303.243849
135.0,1931,1307.526101
235.0,2403,1312.312495
260.0,3245,1320.834974
175.0,1945,1325.386129
275.0,2947,1333.443495
235.0,2491,1339.877225
380.0,3545,1349.355349
120.0,1521,1353.461025
430.0,4150,1365.269692
295.0,2693,1372.428294
620.0,3507,1379.913191
105.0,1605,1383.011952
325.0,3033,1390.105466
420.0,4429,1400.144691
160.0,2407,1404.984262
380.0,2445,1410.223503
110.0,1747,1414.305757
440.0,3623,1422.964892
70.0,2081,1428.483983
230.0,1859,1432.31446
150.0,1929,1436.852967
235.0,2793,1443.107599
160.0,2545,1448.509495
500.0,4807,1458.298194
300.0,2721,1464.757649
130.0,2259,1470.050238
305.0,3345,1476.902311
105.0,2065,1481.254944
305.0,2207,1485.987048
65.0,1445,1489.24221
400.0,3367,1512.596173
275.0,2225,1517.999759
130.0,2023,1523.070045
255.0,2451,1529.508511
80.0,1797,1534.125013
260.0,3229,1540.994687
460.0,4701,1550.94881
